ID,CAPACIDAD,NOMBRE,TELEFONO,DIRECCION,ESTRELLAS,RUT,HABDISPONIBLES,HABOCUPADAS,HORACIERRE,HORAAPERTURA,CEDULA,EDAD,TIPO
1,1,Latlux,760 988 3726,5684 Hudson Circle,4,90-437-7359,48,56,null,null,null,null,hotel
2,4,Tin,576 121 9961,0 Basil Hill,4,67-101-2413,130,58,null,null,null,null,hotel
3,2,Matsoft,236 242 8819,05 Prentice Junction,2,07-508-9593,21,60,null,null,null,null,hotel
4,4,Home Ing,852 535 1016,71653 Oakridge Park,5,18-485-1323,131,19,null,null,null,null,hotel
5,2,Matsoft,784 919 3482,4 Vernon Hill,5,09-559-4322,50,111,null,null,null,null,hotel
6,4,Transcof,681 686 7706,71 Debra Alley,5,94-845-2878,13,9,null,null,null,null,hotel
7,4,Lotlux,842 505 5054,34 Waywood Drive,5,40-603-0919,141,15,null,null,null,null,hotel
8,3,Tempsoft,172 418 4577,1602 Bunker Hill Terrace,5,72-211-7890,84,39,null,null,null,null,hotel
9,4,Zathin,896 901 2952,4 Hollow Ridge Center,2,12-785-0691,27,39,null,null,null,null,hotel
10,1,Zoolab,779 509 5890,8429 Moulton Park,4,28-956-1620,134,59,null,null,null,null,hotel
11,1,Lotlux,182 288 9006,4302 Golden Leaf Pass,3,60-072-3243,25,3,null,null,null,null,hotel
12,2,Flexidy,274 963 7685,02 2nd Pass,3,38-140-2194,92,126,null,null,null,null,hotel
13,2,Flowdesk,375 959 6927,740 Esch Road,5,12-878-5936,81,50,null,null,null,null,hotel
14,1,Quo Lux,983 970 6586,97515 Anthes Point,2,89-819-8269,11,146,null,null,null,null,hotel
15,2,Sonsing,934 836 1693,87 Dottie Road,3,88-710-6578,46,76,null,null,null,null,hotel
16,2,Hatity,492 313 7313,13808 Mesta Pass,5,64-935-2441,85,140,null,null,null,null,hotel
17,4,Tempsoft,899 526 4936,41 Maryland Drive,3,47-576-8901,126,52,null,null,null,null,hotel
18,1,Overhold,814 783 2948,9092 Doe Crossing Circle,4,31-532-7752,86,33,null,null,null,null,hotel
19,1,Greenlam,393 635 4419,697 Spaight Parkway,2,25-599-6599,147,92,null,null,null,null,hotel
20,4,Regrant,625 492 2523,1586 Mosinee Way,5,02-929-3772,127,37,null,null,null,null,hotel
